player_id,player_name,team,position,gameweek,opponent_team,was_home,kickoff_time,fixture_id,minutes,goals,assists,yellow_cards,red_cards,own_goals,clean_sheets,saves,penalties_saved,penalties_missed,defensive_contribution,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,selected,actual_points,calculated_points
20,Trossard,Arsenal,MID,13,Chelsea,False,2025-11-30T16:30:00Z,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,69,129751,0,0
20,Trossard,Arsenal,MID,14,Brentford,True,2025-12-03T19:30:00Z,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,69,111077,0,0
20,Trossard,Arsenal,MID,15,Aston Villa,False,2025-12-06T12:30:00Z,141,40,1,0,0,0,0,0,0,0,0,2,0,0,23,0.46,0.01,0.47,0.49,69,87473,6,6
20,Trossard,Arsenal,MID,16,Wolves,True,2025-12-13T20:00:00Z,151,33,0,0,0,0,0,0,0,0,0,5,1,0,9,0.03,0.21,0.24,0.09,69,97322,1,1
20,Trossard,Arsenal,MID,17,Everton,False,2025-12-20T20:00:00Z,164,79,0,0,0,0,0,1,0,0,0,8,0,0,6,0.29,0.03,0.32,0.20,69,109703,3,3
20,Trossard,Arsenal,MID,18,Brighton,True,2025-12-27T15:00:00Z,171,81,0,0,0,0,0,0,0,0,0,5,1,0,11,0.51,0.26,0.77,0.85,69,136555,2,2
20,Trossard,Arsenal,MID,19,Aston Villa,True,2025-12-30T20:15:00Z,181,90,1,1,0,0,0,0,0,0,0,5,1,3,40,0.63,0.25,0.88,2.67,69,128067,13,13
20,Trossard,Arsenal,MID,20,Bournemouth,False,2026-01-03T17:30:00Z,192,23,0,0,0,0,0,0,0,0,0,3,1,0,2,0.02,0.00,0.02,0.06,70,285463,1,1
20,Trossard,Arsenal,MID,21,Liverpool,True,2026-01-08T20:00:00Z,201,63,0,0,1,0,0,1,0,0,0,5,0,0,7,0.09,0.05,0.14,0.21,70,230658,2,2
20,Trossard,Arsenal,MID,22,Nott'm Forest,False,2026-01-17T17:30:00Z,217,45,0,0,0,0,0,0,0,0,0,1,0,0,4,0.00,0.01,0.01,0.14,69,211436,1,1
