player_id,fpl_full_name,fpl_team,understat_id,understat_name,understat_score,needs_review_understat,review_reason_understat,fbref_id,fbref_name,fbref_score,needs_review_fbref,review_reason_fbref,needs_review,total_minutes
99,Daniel Adu-Adjei,Bournemouth,8211,Amine Adli,56.84210526315789,True,low name-match confidence,Amine Adli,Amine Adli,56.84210526315789,True,low name-match confidence,True,0
95,Zain Silcott-Duberry,Bournemouth,8211,Amine Adli,52.94117647058824,True,low name-match confidence,Amine Adli,Amine Adli,52.94117647058824,True,low name-match confidence,True,0
94,Dominic Sadi,Bournemouth,8211,Amine Adli,63.63636363636363,True,low name-match confidence,Amine Adli,Amine Adli,63.63636363636363,True,low name-match confidence,True,0
92,Romain Faivre,Bournemouth,8211,Amine Adli,52.17391304347826,True,low name-match confidence,Amine Adli,Amine Adli,52.17391304347826,True,low name-match confidence,True,0
203,Enock Agyei,Burnley,11701,Zeki Amdouni,43.47826086956522,True,low name-match confidence,Max Weiß,Max Weiß,45.0,True,low name-match confidence,True,0
201,Manuel Benson Hedilazio,Burnley,12094,Mike Trésor,55.38461538461539,True,low name-match confidence,Mike Trésor,Mike Trésor,55.38461538461539,True,low name-match confidence,True,0
196,Shurandy Sambo,Burnley,8384,Armando Broja,51.85185185185186,True,low name-match confidence,Armando Broja,Armando Broja,51.85185185185186,True,low name-match confidence,True,0
194,Jordan Beyer,Burnley,14281,Jaydon Banel,50.0,True,low name-match confidence,Armando Broja,Armando Broja,48.0,True,low name-match confidence,True,0
51,Samuel Iling-Junior,Aston Villa,2203,Emiliano Buendía,47.05882352941176,True,low name-match confidence,Emiliano Martínez,Emiliano Martínez,43.42857142857143,True,low name-match confidence,True,0
46,Yasin Özcan,Aston Villa,11807,Ian Maatsen,51.81818181818182,True,low name-match confidence,Ian Maatsen,Ian Maatsen,51.81818181818182,True,low name-match confidence,True,0
45,Lino da Cruz Sousa,Aston Villa,4401,Emiliano Martinez,45.714285714285715,True,low name-match confidence,Ezri Konsa,Ezri Konsa,52.94117647058824,True,low name-match confidence,True,0
43,Álex Moreno Lopera,Aston Villa,12412,Morgan Rogers,55.38461538461539,True,low name-match confidence,Morgan Rogers,Morgan Rogers,55.38461538461539,True,low name-match confidence,True,0
35,Filip Marschall,Aston Villa,9614,Marco Bizot,43.84615384615385,True,low name-match confidence,Marco Bizot,Marco Bizot,43.84615384615385,True,low name-match confidence,True,0
34,Joe Gauci,Aston Villa,7723,John McGinn,52.17391304347826,True,low name-match confidence,John McGinn,John McGinn,52.17391304347826,True,low name-match confidence,True,0
759,Marli Salmon,Arsenal,7526,Martín Zubimendi,50.0,True,low name-match confidence,Martín Zubimendi,Martín Zubimendi,50.0,True,low name-match confidence,True,0
711,Andre Harriman-Annous,Arsenal,5553,Declan Rice,45.0,True,low name-match confidence,Declan Rice,Declan Rice,45.0,True,low name-match confidence,True,0
29,Albert Sambi Lokonga,Arsenal,5613,Gabriel,51.42857142857142,True,low name-match confidence,Kai Havertz,Kai Havertz,48.857142857142854,True,low name-match confidence,True,0
28,Ismeal Kabia,Arsenal,5613,Gabriel,49.090909090909086,True,low name-match confidence,William Saliba,William Saliba,46.15384615384615,True,low name-match confidence,True,0
23,Fábio Ferreira Vieira,Arsenal,5613,Gabriel,51.42857142857142,True,low name-match confidence,David Raya,David Raya,50.0,True,low name-match confidence,True,0
15,Josh Nichols,Arsenal,10024,Cristhian Mosquera,37.5,True,low name-match confidence,Cristhian Mosquera,Cristhian Mosquera,37.5,True,low name-match confidence,True,0
14,Maldini Kacurri,Arsenal,5061,Kepa,57.0,True,low name-match confidence,Gabriel Martinelli,Gabriel Martinelli,51.81818181818182,True,low name-match confidence,True,0
13,Brayden Clarke,Arsenal,5061,Kepa,60.00000000000001,True,low name-match confidence,Declan Rice,Declan Rice,56.00000000000001,True,low name-match confidence,True,0
9,Jakub Kiwior,Arsenal,8129,Riccardo Calafiori,40.0,True,low name-match confidence,Riccardo Calafiori,Riccardo Calafiori,40.0,True,low name-match confidence,True,0
56,Enzo Barrenechea,Aston Villa,2203,Emiliano Buendía,50.0,True,low name-match confidence,Emiliano Martínez,Emiliano Martínez,48.48484848484848,True,low name-match confidence,True,0
57,Lewis Dobbin,Aston Villa,1823,Lucas Digne,52.17391304347826,True,low name-match confidence,Lucas Digne,Lucas Digne,52.17391304347826,True,low name-match confidence,True,0
60,Ben Broggio,Aston Villa,2203,Emiliano Buendía,47.5,True,low name-match confidence,Jamaldeen Jimoh,Jamaldeen Jimoh,45.16129032258065,True,low name-match confidence,True,0
768,Leon Routh,Aston Villa,5221,Leon Bailey,54.285714285714285,True,low name-match confidence,Leon Bailey,Leon Bailey,54.285714285714285,True,low name-match confidence,True,0
